state,pc_name,,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors,,,a
Telangana,Medak,Medak,KOMPELLI PRABHUDAS,M,48,SC,RPI(A),Sewing Machine,7599,0,7599,1536166,,Hajipur (SC),Hajipur (SC)
Telangana,Medak,Medak,"PRABHUGOUD, PULLAIAHGARI",M,45,GEN,YSRCP,Ceiling Fan,11744,8,11752,1536166,,Ujiarpur,Ujiarpur
Telangana,Medak,Medak,BOMMA BALESHAM,M,62,GEN,PPOI,Television,3296,1,3297,1536166,,Samastipur (SC),Samastipur (SC)
Telangana,Medak,Medak,KUNDETI. RAVI.,M,40,GEN,IND,Camera,33507,0,33507,1536166,,Begusarai,Begusarai
Telangana,Medak,Medak,GAJABINKAR BANSILAL,M,49,GEN,IND,Basket containing Fruits,3281,0,3281,1536166,,Khagaria,Khagaria
Telangana,Medak,Medak,GURJADA BHEERAIAH YADAV,M,47,GEN,IND,Coconut,2050,3,2053,1536166,,Bhagalpur,Bhagalpur
Telangana,Medak,Medak,BALARAJU MITTAPALLY,M,43,GEN,IND,Carrom Board,2973,0,2973,1536166,,Banka,Banka
Telangana,Medak,Medak,MEKA. SUBBA RAO,M,37,SC,IND,Cup & Saucer,4441,0,4441,1536166,,Munger,Munger
Telangana,Medak,Medak,None of the Above,,0,,NOTA,NOTA,10687,9,10696,1536166,,Nalanda,Nalanda
Telangana,Malkajgiri,Malkajgiri,KARUNAKAR.R,M,48,GEN,BSP,Elephant,6111,22,6133,3183083,,Patna Sahib,Patna Sahib
Telangana,Malkajgiri,Malkajgiri,CH.MALLA REDDY,M,56,GEN,TDP,Bicycle,522423,933,523356,3183083,,Pataliputra,Pataliputra
Telangana,Malkajgiri,Malkajgiri,SARVEY SATHYANARAYANA,M,60,GEN,INC,Hand,232989,541,233530,3183083,,Arrah,Arrah
Telangana,Malkajgiri,Malkajgiri,HANUMANTH RAO MYNAMPALLY,M,47,GEN,TRS,Car,493433,1757,495190,3183083,,Buxar,Buxar
Telangana,Malkajgiri,Malkajgiri,DR.JAYAPRAKASH  NARAYAN .N,M,58,GEN,LSP,Whistle,157530,718,158248,3183083,,Sasaram (SC),Sasaram (SC)
Telangana,Malkajgiri,Malkajgiri,JAJULA BHASKAR,M,39,GEN,SHP,Auto- Rickshaw,7951,2,7953,3183083,,Karakat,Karakat
Telangana,Malkajgiri,Malkajgiri,V.DINESH REDDY,M,60,GEN,YSRCP,Ceiling Fan,114941,280,115221,3183083,,Jahanabad,Jahanabad
Telangana,Malkajgiri,Malkajgiri,DIVAKAR DHARANIKOTA SUDHAKAR,M,28,GEN,AIMIM,Almirah,18535,9,18544,3183083,,Aurangabad,Aurangabad
